source,location,job_link,job_title,company_name,imp_fields,description_headings,description,skills,perks,start_date,duration,stipend,last_date,job_mode,skills2,no_of_openings,months_duration,stipend_month,incentives
internshala,Gurgaon,https://internshala.com/internship/detail/mis-information-technology-internship-in-gurgaon-at-v-mart-retail-limited1605260186,MIS (Information Technology),V-Mart Retail Limited,"['Starts\xa0immediatelyImmediately', '6 Months', '7000-8000 /month', ""27 Nov' 20""]","['About V-Mart Retail Limited', ' About the internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Number of openings']","About V-Mart Retail Limited        

Website 


    V-Mart is a complete family fashion store that provides its customers with true value for their money. We offer our customers a great shopping experience each time they visit the V-Mart store, by offering a vast range of products under one roof. Maintaining high standards of quality and design, V-Mart offers fashion garments at down-to-earth prices and over a period of time has emerged as the destination of choice for bargain hunters.

We primarily operate in tier-2 and tier-3 cities with the chain of value retail departmental stores. Our stores cater to the needs of the entire family altogether by offering apparel, and general merchandise. We have 255 stores across 189 cities in 19 states and union territories. Our stores are located in prime states/UTs such as Bihar, Chandigarh, Gujarat, Haryana, Jammu & Kashmir, Madhya Pradesh, Delhi, Punjab, Rajasthan, Uttarakhand, Himachal Pradesh, Jharkhand, Odisha, West Bengal, Arunachal Pradesh, Meghalaya, Nagaland, and Assam.
About the internship

    Selected intern's day-to-day responsibilities include: 

1. Monitoring and maintaining all the customer data
2. Working on the preparation & analysis of IT dashboards 
3. Ensuring system issues are resolved in a timely manner Skill(s) required

MS-Office
MS-Word
MS-PowerPoint
MS-Excel
English Proficiency (Spoken)
English Proficiency (Written)


Learn these skills on Internshala Trainings


Learn MS-Excel


Learn Business Communication



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 13th Nov'20 and 18th Dec'20
3. are available for duration of 6 months
4. have relevant skills and interests


Other requirements

1. Should have excellent verbal and written communication skills
2. Should have proficient computer skills, including Microsoft Office Suite - Word, PowerPoint, and Excel (formula and calculations)

Perks

Certificate
 5 days a week

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['MS-Office', 'MS-Word', 'MS-PowerPoint', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","['Certificate', ' 5 days a week']",immediately,6 Months,7000-8000 /month,27 Nov 20,,MS Office  MS Word  MS PowerPoint  MS Excel  English Proficiency  Spoken   English Proficiency  Written,1,6,7000-8000,No
internshala,"Delhi, Chandigarh, Patiala",https://internshala.com/internship/detail/mobile-app-development-internship-in-multiple-locations-at-thapar-university1604643705,Mobile App Development,Thapar University,"['Starts\xa0immediatelyImmediately', '6 Months', '31200 /month', ""23 Nov' 20""]","['About Thapar University', ' About the internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Number of openings']","About Thapar University        

Website 


    The Thapar Institute of Engineering and Technology University is the epitome of a new thought taking shape in the parlance of management that combines multiple economic and social models with technology as a backbone to create a strategy of success in the realm of uncertainties.
About the internship

    Selected intern's day-to-day responsibilities include working on android app development for image processing applications. Skill(s) required

Python
Android


Learn these skills on Internshala Trainings


Learn Python


Learn Android



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 6th Nov'20 and 11th Dec'20
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.

Other requirements

1. MCA/MTech in computer science engineering With experience in android app development

Perks

Letter of recommendation

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['Python', 'Android', 'Letter of recommendation']",[],immediately,6 Months,31200 /month,23 Nov 20,,Python  Android,1,6,31200,No
internshala,Work From Home,https://internshala.com/internship/detail/machine-learning-and-cloud-computing-work-from-home-job-internship-at-iit-bombay1604739017,Machine Learning And Cloud Computing,IIT Bombay,"['Starts\xa0immediatelyImmediately', '6 Months', '2000-4000 /month', ""21 Nov' 20""]","['About IIT Bombay', ' About the work from home job/internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Additional Information', ' Number of openings']","About IIT Bombay        

Website 


    The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award 2011.
About the work from home job/internship

    Selected intern's day-to-day responsibilities include: 

1. Conducting research by implementing machine learning/deep learning models
2. Handling management of dataset, training, testing, and analysis of models
3. Reading and writing research papers
4. Performing various experiments and analysis
5. Writing technical reports
6. Prototyping solutions
7. Building systems around the deep learning models
8. Building cloud infrastructures for the deep learning-based systems
9. Working on real-world problems and working with IIT Bombay master and Ph.D. students Skill(s) required

Cloud Computing
Python
Algorithms
Mathematics
Machine Learning
DevOps
Computer Vision
Microsoft Azure
REST API
Flask
Deep Learning
Distributed Computing
Google Cloud Computing
MEAN/MERN Stack


Learn these skills on Internshala Trainings


Learn Cloud Computing


Learn Python


Learn Machine Learning



Who can apply

Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 6th Nov'20 and 11th Dec'20
3. are available for duration of 6 months
4. have relevant skills and interests


Other requirements

1. This position requires you to commit at least 5-6 hrs on a daily basis for 6 days a week. It also requires you to have a very active developer profile on GitHub (or if you can convince us about your skills as an active developer)
2. If you can't commit the time or don't have a very active profile, please do not apply
3. Candidate should have completed at least 3 years of the engineering degree program (ie he is either in the final year of BTech or have completed the degree) [MUST]
4. Proven experience as a Machine Learning Intern or similar role
5. Good understanding of data structures, data modeling, RESTful APIs and software design patterns and architecture
6. Working knowledge of math, probability, statistics, and algorithms
7. Ability to write clean and robust code in Python and C++ following the software design patterns/concepts
8. Familiarity with machine learning frameworks (like TensorFlow or PyTorch) and libraries (like scikit-learn) and other relevant visualization libraries
9. Have already worked with cloud environment (google cloud /Microsoft Azure or Amazon AWS)
10. Has contributed to the open-source community and is very active on GitHub (or other similar platforms) 
11. Excellent communication skills
12. Ability to work in a team
13. Outstanding analytical and problem-solving skills
14. Can commit at least 5 hrs daily [MUST]

Perks

Certificate
 Letter of recommendation
 Flexible work hours

Additional Information

Answer the questions carefully and share the relevant details. This will increase the quality of your application and would increase your chance of clearing the initial shortlisting round. we receive a large number of applications, and hence we follow initial filtering and reject application immediately if sufficient details are not present in the application.

Number of openings

        10    




                        Apply now
                    







Additional Questions

×




Close","['Cloud Computing', 'Python', 'Algorithms', 'Mathematics', 'Machine Learning', 'DevOps', 'Computer Vision', 'Microsoft Azure', 'REST API', 'Flask', 'Deep Learning', 'Distributed Computing', 'Google Cloud Computing', 'MEAN/MERN Stack']","['Certificate', ' Letter of recommendation', ' Flexible work hours']",immediately,6 Months,2000-4000 /month,21 Nov 20,,Cloud Computing  Python  Algorithms  Mathematics  Machine Learning  DevOps  Computer Vision  Microsoft Azure  REST API  Flask  Deep Learning  Distributed Computing  Google Cloud Computing  MEAN MERN Stack,10,6,2000-4000,No
internshala,Gurgaon,https://internshala.com/internship/detail/product-management-internship-in-gurgaon-at-freecharge-payments-technology-private-limited1604583275,Product Management,Freecharge Payments Technology Private Limited,"['Starts\xa0immediatelyImmediately', '3 Months', '10000 /month', ""20 Nov' 20""]","['About Freecharge Payments Technology Private Limited', ' About the internship', ' Skill(s) required', ' Who can apply', ' Perks', ' Number of openings']","About Freecharge Payments Technology Private Limited        

Website 


    Freecharge is an e-commerce/payments website headquartered in Gurgaon. It provides online facility to recharge any prepaid mobile phone, postpaid mobile, DTH, & data cards in India. On 27 July 2017, Axis Bank acquired Freecharge for overall business operations.
About the internship

    Selected intern's day-to-day responsibilities include:

1. Assisting the front-end product team in designing new features and experience and helping manage the backlog
2. Keeping a tab on important metrics across platforms on a daily basis and diving deeply into one journey per week
3. Helping the design and tech team in executing the vision Skill(s) required

SQL

Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 5th Nov'20 and 10th Dec'20
3. are available for duration of 3 months
4. have relevant skills and interests


Perks

Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close",['SQL'],"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']",immediately,3 Months,10000 /month,20 Nov 20,,SQL,1,3,10000,No
internshala,Mumbai,https://internshala.com/internship/detail/software-project-management-internship-in-mumbai-at-iit-bombay1604566507,Software Project Management,IIT Bombay,"['Starts\xa0immediatelyImmediately', '6 Months', '2000-3000 /month', ""20 Nov' 20""]","['About IIT Bombay', ' About the internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Additional Information', ' Number of openings']","About IIT Bombay        

Website 


    The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award in 2011. IIT Bombay has also honored Prof Ganesh's work on ""Adaptive framework for end-to-end corrections in Indic OCR"".
About the internship

    Selected intern's day-to-day responsibilities include:

1. Maintaining documentation & presentation and drafting project proposals and reports as and when needed
2. Developing and maintaining project deliverables under the direction of the senior project manager
3. Handling back-office work (accounts, HR, drafting, communication, filling, and data management)
4. Handling complete end to end recruitment and other HR activities
5. Coordinating with the team members, the senior project manager, and the clients to ensure deliveries and task management
6. Gathering and refining specifications and requirements based on technical needs and conveying it further to the development team
7. Creating and maintaining software documentation
8. Staying plugged into emerging technologies/industry trends and applying them to operations and activities
9. Performing software and tool testing shared by IITB
10. Working on the pipeline of OCR text correction (converting scanned text to digital text, with manual correction of OCRed text) Skill(s) required

English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
Hindi Proficiency (Written)


Learn these skills on Internshala Trainings


Learn Business Communication



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 6th Nov'20 and 11th Dec'20
3. are available for duration of 6 months
4. have relevant skills and interests


Other requirements

1. Must have expertise in team management
2. Must have excellent communication skills
3. Must have English proficiency (spoken and written)
4. Must have Hindi proficiency (spoken and written)
5. Candidates with knowledge of Sanskrit (speaking and reading) will have an added bonus 
6. Must have knowledge of MS-Office
7. Must preferably have hands-on experience in data labeling 
8. Must have experience in time and resource management
9. Must carry their own laptops

Perks

Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week

Additional Information

This is an in-office internship & will start in June. Candidates can work from home, till the lockdown is lifted and it is safe to commute to the campus. 

Optical Character Recognition (OCR) is the process of converting the document images into an editable electronic format. This has many advantages like data compression, enabling search or edit options in the images/text, and creating the database for other applications like machine translation, speech recognition, and enhancing dictionaries and language models. OCR in Indian languages is quite challenging due to richness in inflections.

Using open-source and commercial OCR systems, we have observed the word error rates (WER) of around 20-50% on printed documents in four different Indic languages. Moreover, developing a highly accurate OCR system with accuracy as high as 90% is not useful unless aided by the mechanism to identify errors. So, we started with the problem of developing ""OpenOCRCorrect"", an end-to-end framework for error detection and corrections in Indic-OCR. Our models outperform state-of-the-art results in “Error Detection in Indic-OCR” for six Indic languages with varied inflections and we have solved the out of vocabulary problem for “Error Correction in Indic-OCR” in our ICDAR-2017 conference paper. We further improve the results with the help of sub-word embeddings in our ICDAR-2019 conference paper. The demo video for our framework is at https://youtu.be/u9bqUDrGugc (Must watch for applying candidates)

To install the software, you can go to https://github.com/rohitsaluja22/OpenOCRCorrect and follow the instructions given in https://youtu.be/0hcdlF-zn8E

There is an immediate demand to keep the softcopy of the Indian preserved texts. Currently, we are targeting Sanskrit. Although the OCR tools available online do a decent job on English texts, they are not optimized for Indic languages. Thus, developing an OCR model for the same is our concern. The model should be able to detect text with maximum level accuracy and should be able to draw bounding boxes on each line of the text. Further, in the digitization process of such texts, the second step would be spelling correction and formatting of the text detected by the OCR models.

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']",immediately,6 Months,2000-3000 /month,20 Nov 20,,English Proficiency  Spoken   English Proficiency  Written   Hindi Proficiency  Spoken   Hindi Proficiency  Written,1,6,2000-3000,No
internshala,"Chandigarh, Jalandhar, Rajpura, Baddi",https://internshala.com/internship/detail/teaching-assistant-full-stack-development-internship-in-multiple-locations-at-upgrad1604062293,Teaching Assistant (Full Stack Development),UpGrad,"['Starts\xa0immediatelyImmediately', '6 Months', '25000-30000 /month', ""30 Nov' 20""]","['About UpGrad', ' About the internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Additional Information', ' Number of openings']","About UpGrad        

Website 


    Founded in 2015, upGrad is India's largest online higher education company providing programs in data science, technology, management, and law, to students, working professionals, and enterprises. Equipped with US $15 million capital and a committed team around Ronnie Screwvala and Mayank Kumar, our mission is to empower individuals to reach their full professional potential in the most engaging learning environment. Our company is partnering with top-class universities and corporates to unite the academia and industry and bring education in India to the next level. 

upGrad has on-boarded over 30,000 paid learners while impacting more than half a million individuals, globally. upGrad received the Best Education Brands' award by Economic Times in 2018, Most Innovative Companies in India' by Fast Company in 2017 and has made it to LinkedIn's Top 25 Startups' two years in a row in 2018 and 2019, and LinkedIn's Top #1 Startup in 2020.
About the internship

    Selected intern's day-to-day responsibilities include: 

1. Teach students offline by conducting sessions for our tech programs 
2. Work with the content team to facilitate feedback from students and incorporate necessary changes in our program content
3. Assist the instructional plan (course outline or syllabus) for the course(s) you teach and ensure that it meets college and upGrad's standards
4. Assess students' progress by grading assignments, tests, and other work
5. Prepare/review the presentation 4-5 days prior to the lecture commencement 
6. Prepare the project & content work, depending upon the requirement of the curriculum, and submit the same to the content team/SME
7. Shoot videos for the students on specific topics of your domain Skill(s) required

Java
HTML
CSS
JavaScript
jQuery
Bootstrap
Hibernate (Java)
Spring MVC
GitHub
REST API
ReactJS


Learn these skills on Internshala Trainings


Learn Java


Learn HTML


Learn CSS


Learn Bootstrap


Learn Git



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 30th Oct'20 and 4th Dec'20
3. are available for duration of 6 months
4.  are from Chandigarh, Jalandhar, Rajpura, Baddi and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.

Other requirements

1. Candidates who are willing to relocate to the specified locations and can immediately join us in January 2021
2. Must have at least 2+ years of experience, less than 2 only if you stand out to be exceptionally good

Perks

Certificate
 Flexible work hours
 5 days a week

Additional Information

Notice period: 15-30 days
Food and accommodation will be taken care of by us
Work hour & days: 5 days/week, 2 hours per lecture

Number of openings

        6    




                        Apply now
                    







Additional Questions

×




Close","['Java', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Bootstrap', 'Hibernate (Java)', 'Spring MVC', 'GitHub', 'REST API', 'ReactJS']","['Certificate', ' Flexible work hours', ' 5 days a week']",immediately,6 Months,25000-30000 /month,30 Nov 20,,Java  HTML  CSS  JavaScript  jQuery  Bootstrap  Hibernate  Java   Spring MVC  GitHub  REST API  ReactJS,6,6,25000-30000,No
internshala,Kanpur,https://internshala.com/internship/detail/web-development-internship-in-kanpur-at-webixy-technologies-private-limited1605406971,Web Development,Webixy Technologies Private Limited,"['Starts\xa0immediatelyImmediately', '2 Months', '10000-11000 /month', ""1 Dec' 20""]","['About Webixy Technologies Private Limited', ' About the internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Number of openings']","About Webixy Technologies Private Limited        

    We are a complete web development and website designing company. We also develop an Android and iOS app.
About the internship

    Selected intern's day-to-day responsibilities include: 

1. Working on PHP CI website development
2. Creating posters and posts for social media pages Skill(s) required

PHP
CodeIgniter


Learn these skills on Internshala Trainings


Learn PHP



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Nov'20 and 20th Dec'20
3. are available for duration of 2 months
4.  are from Kanpur
5. have relevant skills and interests


Other requirements

1. Should be a self-motivated person who is ready to take responsibility 
2. Should be ready to work in a dynamic environment

Perks

Certificate
 Letter of recommendation
 Job offer

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close","['PHP', 'CodeIgniter']","['Certificate', ' Letter of recommendation', ' Job offer']",immediately,2 Months,10000-11000 /month,1 Dec 20,,PHP  CodeIgniter,2,2,10000-11000,No
internshala,Work From Home,https://internshala.com/internship/detail/software-development-work-from-home-job-internship-at-bright-goals1605429653,Software Development,Bright Goals,"['Starts\xa0immediatelyImmediately', '6 Months', '8000 /month', ""1 Dec' 20""]","['About Bright Goals', ' About the work from home job/internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Number of openings']","About Bright Goals        

    We are a web and software development company at Boisar, Maharashtra providing the best solutions for stores, shops, and businesses at an affordable cost.
About the work from home job/internship

    Selected intern's day-to-day responsibilities include: 

1. Complete the work given by the senior
2. Work with other developers
3. Develop software as per the requirement and complete it on time 

Note: All work will be done in Visual Studio. Skill(s) required

MySQL
C#
.NET
Microsoft Visual Studio
MS SQL Server
SQLite

Who can apply

Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 16th Nov'20 and 21st Dec'20
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.

Other requirements

1. Must have some experience in C# and MySQL
2. Must have the required skills and know good and user-friendly designs
3. Must have knowledge of database storage at an online server and software data backup and import
4. Must know time management

Perks

Certificate
 Letter of recommendation

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['MySQL', 'C#', '.NET', 'Microsoft Visual Studio', 'MS SQL Server', 'SQLite']","['Certificate', ' Letter of recommendation']",immediately,6 Months,8000 /month,1 Dec 20,,MySQL  C    NET  Microsoft Visual Studio  MS SQL Server  SQLite,1,6,8000,No
internshala,Work From Home,https://internshala.com/internship/detail/android-app-development-work-from-home-job-internship-at-orsoot-llp1605509022,Android App Development,OrSoot LLP,"['Starts\xa0immediatelyImmediately', '3 Months', '7000 /month', ""1 Dec' 20""]","['About OrSoot LLP', ' About the work from home job/internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Perks', ' Number of openings']","About OrSoot LLP        

    We provide IT services to startups and small businesses looking for a partner for their web design & development, management software, B2B software, and Android & iOS development requirements. We work with you.
About the work from home job/internship

    Selected intern's day-to-day responsibilities include: 

1. Work on Android app development
2. Work on UI/UX development and API integration Skill(s) required

Java
XML
REST API
Android
Adobe XD


Learn these skills on Internshala Trainings


Learn Java


Learn Android



Who can apply

Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 16th Nov'20 and 21st Dec'20
3. are available for duration of 3 months
4. have relevant skills and interests


Other requirements

1. Must have at least 6 months of experience

Perks

Certificate
 Letter of recommendation
 Flexible work hours

Number of openings

        5    




                        Apply now
                    







Additional Questions

×




Close","['Java', 'XML', 'REST API', 'Android', 'Adobe XD']","['Certificate', ' Letter of recommendation', ' Flexible work hours']",immediately,3 Months,7000 /month,1 Dec 20,,Java  XML  REST API  Android  Adobe XD,5,3,7000,No
internshala,Hyderabad,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-hyderabad-at-radoratory-technologies-private-limited1605589465,Artificial Intelligence (AI),Radoratory Technologies Private Limited,"['Starts\xa0immediatelyImmediately', '6 Months', '2000 /month', ""1 Dec' 20""]","['About Radoratory Technologies Private Limited', ' About the internship', ' Skill(s) required', ' Who can apply', ' Other requirements', ' Number of openings']","About Radoratory Technologies Private Limited        

Website 


    At Livo, we understand that you can only make the most of life when you are healthy. This is why we are driven to develop products that bring healthcare innovation to the many, not the few, and make healthcare more affordable and accessible all over the world.

We create breakthrough products in point-of-care blood analysis and whole slide imaging that grant you, your patients, and the entire community access to affordable and speedy healthcare when and where they are needed.
About the internship

    Selected intern's day-to-day responsibilities include: 

1. Working on natural language processing (NLP) - one major sub-field of AI that helps computers read, understand, and process human languages
2. Working with text, audio, or video
3. Working on image processing techniques
4. Completing the assigned tasks of image annotation, image collection, image processing, and data augmentation Skill(s) required

Java
Python
Algorithms
AngularJS
C++ Programming


Learn these skills on Internshala Trainings


Learn Java


Learn Python


Learn AngularJS


Learn C++ Programming



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Nov'20 and 21st Dec'20
3. are available for duration of 6 months
4. have relevant skills and interests


Other requirements

1. Proficiency in computer languages like Python, R, C++, and Java
2. Understanding of computer concepts like classes and data structures
3. Sound knowledge of NLP, sentimental analysis, Word2vec, and summarization as well as Gensim and NLTK (natural language toolkit) libraries (an added benefit for you)
4. Good knowledge of image processing to create innovative solutions for real-time problems
5. Hands-on knowledge of the image processing techniques

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['Java', 'Python', 'Algorithms', 'AngularJS', 'C++ Programming']",[],immediately,6 Months,2000 /month,1 Dec 20,,Java  Python  Algorithms  AngularJS  C   Programming,1,6,2000,No
