,source,location,job_link,job_title,company_name,imp_fields,description_headings,description,skills,perks
0,internshala,Mumbai,https://internshala.com/internship/detail/information-technology-internship-in-mumbai-at-ramesh-sippy-academy-of-cinema-and-entertainment1603353278,Information Technology,Ramesh Sippy Academy Of Cinema And Entertainment,"['Starts\xa0immediatelyImmediately', '6 Months', '10000-12000 /month', ""5 Nov' 20"", 'Be an early applicant']","['About Ramesh Sippy Academy Of Cinema And Entertainment', 'About the internship', 'Skill(s) required', 'Who can apply', 'Number of openings']","About Ramesh Sippy Academy Of Cinema And Entertainment        

Website 


    Ramesh Sippy Academy Of Cinema And Entertainment is an institute that is one of its kind bridging the gap between theory and hands-on knowledge by highly experienced industry professionals. What makes RSACE truly unique is its tie-up with the Mumbai University. This partnership will award a graduate degree to the student's that complete their study in the chosen course of filmmaking, by the highly respected and recognized, Mumbai University.
About the internship

    Selected intern's day-to-day responsibilities include:

1. Working as an IT Specialist
2. Handling installation
3. Working on online class handling and server checking Skill(s) required

Computer Networking
Internet of Things (IoT)


Learn these skills on Internshala Trainings


Learn Internet of Things



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 21st Oct'20 and 25th Nov'20
3. are available for duration of 6 months
4.  are from Mumbai and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['Computer Networking', 'Internet of Things (IoT)']",[]
1,internshala,Gurgaon,https://internshala.com/internship/detail/python-development-internship-in-multiple-locations-at-extension-technologies1603780423,Network Engineering,Snapdeal,"['Starts\xa0immediatelyImmediately', '3 Months', '10000 /month', ""3 Nov' 20"", '64 applicants']","['About Snapdeal', 'About the internship', 'Skill(s) required', 'Who can apply', 'Perks', 'Number of openings']","About Snapdeal        

Website 


    Snapdeal was founded in February 2010 and has become one of India's largest online marketplace for businesses to reach and sell their products to consumers nationwide, a model that the company pioneered in the Indian market. We feature the largest selection of 5 million+ products across various categories like apparel, mobiles & accessories, watches & bags, electronics & cameras, computers & peripherals, perfumes, beauty & health, footwear, home decor, and kitchenware amongst others. We are a very young, dynamic, and innovative team, and are backed by leading global strategic and financial investors. Snapdeal has received many global accolades including being featured in Digital 100: the world's most valuable global private tech companies (Business Insider).
About the internship

    Selected intern's day-to-day responsibilities include:

1. Monitoring systems:
NOC engineers monitor the performance and capacity of computer systems using a variety of tools. They look for hardware, software, and environmental alerts or malfunctions. When an issue is identified, NOC engineers work to determine the cause of the problem
2. Troubleshooting problems:
When a problem impacts the IT services, the NOC engineer works to triage or troubleshoot the problem, if possible. NOCs generally have standard operating procedures that the NOC engineer will closely follow. This may include coordinating with third-party vendors, customer contacts, or other IT teams.
3. Tracking all issues:
While responding to incidents, the NOC engineer must carefully track and document all issues and resolutions in detail. This increases the knowledge base of the NOC and is a record of the health of the system. Often, the NOC has a ticketing system that the NOC engineer is responsible for updating.
4. Reporting incidents:
When problems are too large or complex for quick troubleshooting, NOC engineers must escalate the issue to management, other IT resources, or 3rd party vendors for assistance in reaching a resolution. NOC engineers maintain ongoing communication within the team and externally, to keep all stakeholders aware of relevant, known issues and the steps being taken. Skill(s) required

Computer Networking
Computer Networks
Distributed Computing

Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 19th Oct'20 and 23rd Nov'20
3. are available for duration of 3 months
4. have relevant skills and interests


Perks

Certificate

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close","['Computer Networking', 'Computer Networks', 'Distributed Computing']",['Certificate']
2,internshala,Gurgaon,https://internshala.com/internship/detail/engineering-operations-internship-in-gurgaon-at-snapdeal1603170067,Engineering Operations,Snapdeal,"['Starts\xa0immediatelyImmediately', '3 Months', '10000 /month', ""3 Nov' 20"", 'Be an early applicant']","['About Snapdeal', 'About the internship', 'Skill(s) required', 'Who can apply', 'Other requirements', 'Perks', 'Additional Information', 'Number of openings']","About Snapdeal        

Website 


    Snapdeal was founded in February 2010 and has become one of India's largest online marketplace for businesses to reach and sell their products to consumers nationwide, a model that the company pioneered in the Indian market. We feature the largest selection of 5 million+ products across various categories like apparel, mobiles & accessories, watches & bags, electronics & cameras, computers & peripherals, perfumes, beauty & health, footwear, home decor, and kitchenware amongst others. We are a very young, dynamic, and innovative team, and are backed by leading global strategic and financial investors. Snapdeal has received many global accolades including being featured in Digital 100: the world's most valuable global private tech companies (Business Insider).
About the internship

    Selected intern's day-to-day responsibilities include:

1. Working on troubleshooting and resolving application issues reported by operations and other teams
2. Carrying out root cause analyses for major/critical incidents, and where possible resolve or provide workarounds, suggestions, and improvements to mitigate future incidents
3. Developing and maintaining professional credible relationships with key stakeholders (product management, business, technology, and operations team)
4. Recommending and assisting with developing improvements around support processes, tools, standards, and the overall performance and level of support provided by the engineering services team Skill(s) required

Java
Python
SQL
Shell Scripting
MySQL
Unix


Learn these skills on Internshala Trainings


Learn Java


Learn Python



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 19th Oct'20 and 23rd Nov'20
3. are available for duration of 3 months
4. have relevant skills and interests


Other requirements

1. Should have experience in handling support calls, incidents, problems, root cause analysis, and providing workarounds and solutions
2. Should be a fast learner, flexible, and able to work well within a cross-functional team environment
3. Should have experience in using software tools/utilities to manage support/service calls and problems
4. Should have a good working knowledge of Unix/Linux and shell scripting
5. Should have knowledge of relational databases (PL/SQL, MySQL)
6. Should have knowledge of Core Java
7. Having knowledge of web concepts is an added advantage
8. Having knowledge of the SOA environment and an understanding of REST/SOAP services, log analysis, and monitoring tools is an added advantage
9. Having experience in incident management system will be an added advantage

Perks

Certificate

Additional Information

The selected interns will be a part of the engineering services team.

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close","['Java', 'Python', 'SQL', 'Shell Scripting', 'MySQL', 'Unix']",['Certificate']
3,internshala,Work From Home,https://internshala.com/internship/detail/backend-development-work-from-home-job-internship-at-iit-bombay1602673324,Backend Development,IIT Bombay,"['Starts\xa0immediatelyImmediately', '6 Months', '3000-5000 /month', ""28 Oct' 20"", '94 applicants']","['About IIT Bombay', 'About the work from home job/internship', 'Skill(s) required', 'Who can apply', 'Perks', 'Number of openings']","About IIT Bombay        

Website 


    The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award in 2011.
About the work from home job/internship

    Selected intern's day-to-day responsibilities include: 

1. Working as a part of our team developing applications and services using Agile development methods
2. Understanding the basic areas of computer science such as algorithms, data structures, object-oriented design, databases
3.  Writing quality code in a Node Js frameworks and server-side scripts
4. Working on JavaScript (ES6)
5.  Working on Express Js and building APIs
6.  Working on Google APIs
7.  Working on either Postgrel SQL or MySQL
8.  Understanding front-end technologies such as HTML5 and CSS3
9.  Integrating front-end and backend
10.  Implementing Skill(s) required

JavaScript
SQL
Node.js
SQLite
REST API

Who can apply

Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 14th Oct'20 and 18th Nov'20
3. are available for duration of 6 months
4. have relevant skills and interests


Perks

Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['JavaScript', 'SQL', 'Node.js', 'SQLite', 'REST API']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
4,internshala,Work From Home,https://internshala.com/internship/detail/backend-ui-desktop-application-development-python-c--work-from-home-job-internship-at-iit-bombay1602147026,Backend & UI Desktop Application Development (Python/C++),IIT Bombay,"['Starts\xa0immediatelyImmediately', '6 Months', '1000-2000 /month', ""26 Oct' 20"", '72 applicants']","['About IIT Bombay', 'About the work from home job/internship', 'Skill(s) required', 'Who can apply', 'Other requirements', 'Perks', 'Additional Information', 'Number of openings']","About IIT Bombay        

Website 


    The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award in 2011. IIT Bombay has also honored Prof Ganesh's work on ""Adaptive framework for end-to-end corrections in Indic OCR"".
About the work from home job/internship

    Selected intern's day-to-day responsibilities include:

1. Work on algorithm optimization, interface, and application development
2. Write well designed, testable, & efficient code by using best software development practices
3. Work on the development of applications employing the backend of C++ and Django framework in python
4. Engage in UI development using QT creator and HTML, CSS in Django
5. Stay plugged into emerging technologies/industry trends and applying them to operations and activities
6. Work occasionally on the pipeline of OCR text correction, to understand the ground scenario (converting scanned text to digital text, with manual correction of OCRed text)
7. Develop the next generation of algorithms to allow our users to enjoy a smooth experience whilst using the application
8. Debug and resolve issues using open communities like Stack Overflow and GitHub Skill(s) required

Linux
Algorithms
User Interface (UI) Development
C++ Programming
English Proficiency (Spoken)
English Proficiency (Written)
Python
Django


Learn these skills on Internshala Trainings


Learn C++ Programming


Learn Business Communication


Learn Python



Who can apply

Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 11th Oct'20 and 15th Nov'20
3. are available for duration of 6 months
4. have relevant skills and interests


Other requirements

1. Expertise in key Python and C++ terminologies including data structures, vectors, templates, etc.
2. A good understanding of backend and MVC architecture
3. Understanding of pointers and OOPs is a must
4. Proven background in coding competitions like HackerRank
5. Ability to formulate a development problem, design, experiment, and implement solutions in C++ and Python
6. Should be self-motivated to fix the issues while coding and look for the solution in open communities like Stackoverflow and Github
7. Good to have experience working with application development with C++ using tools like QT Creator or in Python using the Django framework
8. Must carry their own laptops

Perks

Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week

Additional Information

Optical character recognition (OCR) is the process of converting the document images into an editable electronic format. This has many advantages like data compression, enabling search or edit options in the images/text, and creating the database for other applications like machine translation, speech recognition, and enhancing dictionaries and language models. OCR in Indian languages is quite challenging due to richness in inflections. Using open-source and commercial OCR systems, we have observed the word error rates (WER) of around 20-50% on printed documents in four different Indic languages. Moreover, developing a highly accurate OCR system with accuracy as high as 90% is not useful unless aided by the mechanism to identify errors. So, we started with the problem of developing ""OpenOCRCorrect"", an end-to-end framework for error detection and corrections in Indic-OCR. Our models outperform state-of-the-art results in 'Error Detection in Indic-OCR' for six Indic languages with varied inflections and we have solved the out of vocabulary problem for Error Correction in Indic-OCR in our ICDAR-2017 conference paper. We further improve the results with the help of sub-word embeddings in our ICDAR-2019 conference paper. The demo video for our framework is https://www.youtube.com/watch?v=u9bqUDrGugc. To install the software, you can go to https://github.com/rohitsaluja22/OpenOCRCorrect and follow the instructions given in https://www.youtube.com/watch?v=0hcdlF-zn8E. There is an immediate demand to keep the softcopy of the Indian preserved texts. Currently, we are targeting Sanskrit. Although the OCR tools available online do a decent job on English texts, they are not optimized for Indic languages. Thus developing an OCR model for the same is our concern. The model should be able to detect text with maximum level accuracy and should be able to draw bounding boxes on each line of the text. Further, in the digitization process of such texts, the second step would be spelling correction and formatting of the text detected by the OCR models. 
'ICDAR 2019 Post-OCR competition': Our team ""CLAM"" secured 2nd position in the multilingual PostOCR competition at ICDAR'19. Our model achieved the highest corrections of 44% in Finnish, which is significantly higher than the overall topper (8% in Finnish). Ou final report for the same - (https://drive.google.com/file/d/15mxNO-M9PiXBnffi7MOa8wUw33nj1xBp/view?usp=drive_open) and poster available (https://drive.google.com/file/d/1uuBWu1LQ1QZ49SCgLBoB1er4HpWSzmcx/view). 
'ICDAR2019': You can read the paper here - https://www.cse.iitb.ac.in/~rohitsaluja/PID6011473.pdf.
'ICDAR2017': You can read the paper here - https://ieeexplore.ieee.org/document/8269944. 
'ICDAR-OST 2017': a. OpenOCRCorrect, you can read the paper here - https://ieeexplore.ieee.org/abstract/document/8270254 b. The source code for our framework is available here - https://github.com/rohitsaluja22/OpenOCRCorrect.

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['Linux', 'Algorithms', 'User Interface (UI) Development', 'C++ Programming', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Python', 'Django']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
5,internshala,Work From Home,https://internshala.com/internship/detail/ruby-on-rails-development-work-from-home-job-internship-at-iit-bombay1602482939,Ruby On Rails Development,IIT Bombay,"['Starts\xa0immediatelyImmediately', '6 Months', '3000-5000 /month', ""26 Oct' 20"", 'Be an early applicant']","['About IIT Bombay', 'About the work from home job/internship', 'Skill(s) required', 'Who can apply', 'Other requirements', 'Perks', 'Number of openings']","About IIT Bombay        

Website 


    The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award in 2011.
About the work from home job/internship

    Selected intern's day-to-day responsibilities include:

1. Design, build and maintain efficient, reusable, and reliable Ruby code
2. Integrate data storage solutions (may include databases, key-value stores, blob stores, etc.)
3. Integrate user-facing elements developed by front end developers with server-side logic
4. Identify bottlenecks and bugs, and devise solutions to these problems
5. Help maintain code quality, organization, and automatization Skill(s) required

MySQL
CSS
Ruby on Rails
MongoDB
AngularJS
PostgreSQL
REST API


Learn these skills on Internshala Trainings


Learn CSS


Learn AngularJS



Who can apply

Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 12th Oct'20 and 16th Nov'20
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.

Other requirements

1. Strong working knowledge of page-level, object-level and edge caching systems such as Varnish, Redis, Akamai and CloudFront
2. Experience with at least one IAM or SSO system such as Gigya, Janrain, LoginRadius or OneLogin a plus

Perks

Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['MySQL', 'CSS', 'Ruby on Rails', 'MongoDB', 'AngularJS', 'PostgreSQL', 'REST API']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
6,internshala,Work From Home,https://internshala.com/internship/detail/mobile-app-development-work-from-home-job-internship-at-religare-health-insurance-company-limited1601558725,Mobile App Development,Religare Health Insurance Company Limited,"['Starts\xa0immediatelyImmediately', '3 Months', '6000-7500 /month', ""24 Oct' 20"", '466 applicants']","['About Religare Health Insurance Company Limited', 'About the work from home job/internship', 'Who can apply', 'Perks', 'Number of openings']","About Religare Health Insurance Company Limited        

Website 


    Religare Health Insurance Company Limited is a specialist health insurer engaged in the distribution & servicing of health insurance products. Our shareholders comprise three strong entities: Religare Enterprises Limited, a leading diversified financial services group based out of India, Union Bank of India & Corporation Bank.  Religare is promoted by the founders of Fortis Hospitals, which owns or manages 68 hospitals in India; SRL Diagnostics, Asia's largest network of diagnostic labs with over 1100 collection centers and Religare Wellness, a nationwide chain of stores offering pharmacy and wellness products. This association enables us with an in-depth understanding of consumer behavior and healthcare delivery, thus making us capable of superior claims servicing to our customer.

About the work from home job/internship

    Selected intern's day-to-day responsibilities include:

1. Work on business requirements document preparation
2. Work in coordination with the IT vendors
3. Work on assisting in IT projects
4. Work on testing application Who can apply

Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 1st Oct'20 and 5th Nov'20
3. are available for duration of 3 months
4. have relevant skills and interests


Perks

Certificate
 5 days a week

Number of openings

        5    




                        Apply now
                    







Additional Questions

×




Close",[],"['Certificate', ' 5 days a week']"
7,internshala,Mumbai,https://internshala.com/internship/detail/technical-management-for-machine-learning-backend-development-on-ocr-internship-in-mumbai-at-iit-bombay1601376940,Technical Management For Machine Learning & Backend Development On OCR,IIT Bombay,"[""1 Nov - 30 Nov' 20"", '6 Months', '2000-4000 /month', ""31 Oct' 20"", '257 applicants']","['About IIT Bombay', 'About the internship', 'Skill(s) required', 'Who can apply', 'Other requirements', 'Perks', 'Additional Information', 'Number of openings']","About IIT Bombay        

Website 


    The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award in 2011. IIT Bombay has also honored Prof Ganesh's work on ""Adaptive framework for end-to-end corrections in Indic OCR"".
About the internship

    Selected intern's day-to-day responsibilities include: 

1. Understanding the requirements in detail and eliciting them from the involved stakeholders
2. Leading the machine learning team and guiding them in the challenges they are facing
3. Collaborating with the backend development team and ensuring the requirements are implemented correctly and the project is headed on the right track
4. Organizing meetings with all the required stakeholders and discussing the requirements, issues, challenges, updates, and progress relevant to the project
5. Overseeing that the development and testing are done as per industry standards and a proper pipeline is followed to ensure smooth operations of the project
6. Deploying the system on private servers and then handling the server operations
7. Managing the team and overseeing the tasks done by them
8. Recruiting skilled team members as per the needs of the project
9. Co-ordinating with industry experts and taking technical inputs from them in the challenges faced in the project
10. Maintaining the product backlog and software documentation Skill(s) required

Python
Software Testing
Django
Machine Learning
C++ Programming


Learn these skills on Internshala Trainings


Learn Python


Learn Machine Learning


Learn C++ Programming



Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 1st Nov'20 and 30th Nov'20
3. are available for duration of 6 months
4. have relevant skills and interests


Other requirements

1. Must have done several projects in backend development/web development and also strong knowledge in machine learning
2. Must have excellent communication skills in the English language
3. Must have good people management, collaboration, and leadership skills
4. Must have a strong computer science technical background with awareness about machine learning, servers, databases, API, and software testing
5. Must have basic knowledge in Python or C++
6. Should have done multiple projects in machine learning
7. Must have hands-on experience in coding in software development/backend projects in technologies like Java/C++/Python/Django, etc.
8. Must have graduated in 2020 (candidates passing out in 2021 can also be considered if they have their final semester available for the internship and have no course work commitments)
9. Must be available full time for the internship (minimum 9 hours per day)
10. Must be available for a minimum duration of 6 months (candidates available for a year are highly preferred)
11. Must be willing to take leadership and initiative to take the project to new heights

Perks

Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week

Additional Information

We are working on detecting the layout of the OCRed text, preserve it, and reflect it in the to automate the annotation task. Optical character recognition (OCR) is the process of converting the document images into an editable electronic format. This has many advantages like data compression, enabling search or edit options in the images/text, and creating the database for other applications like machine translation, speech recognition, and enhancing dictionaries and language models. OCR in Indian languages is quite challenging due to richness in inflections. Using open-source and commercial OCR systems, we have observed the word error rates (WER) of around 20-50% on printed documents in four different Indic languages. Moreover, developing a highly accurate OCR system with accuracy as high as 90% is not useful unless aided by the mechanism to identify errors. So, we started with the problem of developing ""OpenOCRCorrect"", an end-to-end framework for error detection and corrections in Indic-OCR. Our models outperform state-of-the-art results in 'Error Detection in Indic-OCR' for six Indic languages with varied inflections and we have solved the out of vocabulary problem for Error Correction in Indic-OCR in our ICDAR-2017 conference paper. We further improve the results with the help of sub-word embeddings in our ICDAR-2019 conference paper. 

The demo video for our framework is https://www.youtube.com/watch?v=u9bqUDrGugc. 
To install the software, you can go to https://github.com/rohitsaluja22/OpenOCRCorrect and follow the instructions given in https://www.youtube.com/watch?v=0hcdlF-zn8E. There is an immediate demand to keep the softcopy of the Indian preserved texts. Currently, we are targeting Sanskrit. Although the OCR tools available online do a decent job on English texts, they are not optimized for Indic languages. Thus, we developed an in-house OCR model for the same. The model can detect text with maximum level accuracy and can draw bounding boxes on each line of the text. Further, in the digitization process of such texts, the second step would be spelling correction and formatting of the text detected by the OCR models.

'ICDAR 2019 Post-OCR competition': Our team ""CLAM"" secured 2nd position in the multilingual PostOCR competition at ICDAR'19. Our model achieved the highest corrections of 44% in Finnish, which is significantly higher than the overall topper (8% in Finnish). 
Our final report for the same - (https://drive.google.com/file/d/15mxNOM9PiXBnffi7MOa8wUw33nj1xBp/view?usp=drive_open) and poster available (https://drive.google.com/file/d/1uuBWu1LQ1QZ49SCgLBoB1er4HpWSzmcx/view).

'ICDAR2019': You can read the paper here -https://www.cse.iitb.ac.in/~rohitsaluja/PID6011473.pdf
'ICDAR2017': You can read the paper here - https://ieeexplore.ieee.org/document/8269944

'ICDAR-OST 2017': 
a. OpenOCRCorrect, you can read the paper here - https://ieeexplore.ieee.org/abstract/document/8270254 
b. The source code for our framework is available here - https://github.com/rohitsaluja22/OpenOCRCorrect

Candidates need to understand that this is a technical management role required to lead a backend team working in C++/Python and also lead the ML Team. Technical Guidance will be provided by industry experts or professors but the candidate needs to execute the work with the team and manage efficiently.

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close","['Python', 'Software Testing', 'Django', 'Machine Learning', 'C++ Programming']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
8,internshala,"Thane, Navi Mumbai, Mumbai",https://internshala.com/internship/detail/mobile-app-development-internship-in-multiple-locations-at-hermanos1603362511,Mobile App Development,Hermanos,"['Starts\xa0immediatelyImmediately', '6 Months', '6000 /month', ""5 Nov' 20"", 'Be an early applicant']","['About Hermanos', 'About the internship', 'Who can apply', 'Other requirements', 'Perks', 'Number of openings']","About Hermanos        

    We are an information technology firm based in Thane. We deal with software development, websites, mobile app, and digital marketing.
About the internship

    Selected intern's day-to-day responsibilities include: 

1. Application development
2. Translate designs and wire frames into high-quality code
3. Design, build, and maintain high performance, reusable, and reliable Java code*
4. Ensure the best possible performance, quality, and responsiveness of the application
5. Identify and correct bottlenecks and fix bugs
6. Help maintain code quality, organization, and automation
7. Explain technologies and solutions to technical and non-technical stakeholders Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 22nd Oct'20 and 26th Nov'20
3. are available for duration of 6 months
4. have relevant skills and interests


Other requirements

1. Must be residing in Thane or nearby area and must be willing to travel to the office as most of the learning and live training will be in person
2. Must be a proactive, disciplined, team player with a good attitude
3. Can take safety precautions and maintain social distancing in office

Perks

Certificate
 Letter of recommendation
 Informal dress code
 Free snacks & beverages

Number of openings

        6    




                        Apply now
                    







Additional Questions

×




Close",[],"['Certificate', ' Letter of recommendation', ' Informal dress code', ' Free snacks & beverages']"
9,internshala,"Delhi, Gurgaon",https://internshala.com/internship/detail/web-development-internship-in-delhi-gurgaon-at-knowyourcrystalscom1603361808,Web Development,KnowYourCrystals.com,"['Starts\xa0immediatelyImmediately', '6 Months', '6000-12000 /month', ""5 Nov' 20"", 'Be an early applicant']","['About KnowYourCrystals.com', 'About the internship', 'Who can apply', 'Perks', 'Number of openings']","About KnowYourCrystals.com        

Website 


    Our company is a product based company and is basically an e-commerce platform (using WordPress and various plug-ins) selling healing stones and crystals.
About the internship

    Selected intern's day-to-day responsibilities include:

1. Work on an e-commerce website
2. Engage in product cataloging
3. SEO and SEM
4. Optimization of the website Who can apply

Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 22nd Oct'20 and 26th Nov'20
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.

Perks

Certificate
 Letter of recommendation
 Flexible work hours
 Informal dress code
 Free snacks & beverages

Number of openings

        1    




                        Apply now
                    







Additional Questions

×




Close",[],"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' Informal dress code', ' Free snacks & beverages']"
